name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
11 UMi b,Confirmed,10.5,2.47,2.47,10.5,2.47,2.47,0,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,0.012887,2009,8/13/09,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,11 UMi,229.275,71.8238889,5.02,,,,,119.5,6.9,6.9,0.04,0.04,0.04,1.8,0.25,0.25,24.08,1.84,1.84,K4III,1.56,0.54,0.54,4340,70,70,,,
14 Her b,Confirmed,4.64,0.19,0.19,4.64,0.19,0.19,0,,,1773.4,2.5,2.5,2.77,0.05,0.05,0.369,0.005,0.005,,,,0.153039,2002,8/27/14,22.6,0.9,0.9,2451372.7,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311,87,87,,,
14 Her c,Unconfirmed,2.1,,,,,,0,,,6906,70,70,6.9,,,0,,,,,,0.381215,2006,11/25/15,218,,,9100,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Other,,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311,87,87,,,
16 Cyg B b,Confirmed,1.68,0.07,0.07,1.68,0.07,0.07,0,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,0.078468,1996,8/27/14,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,G2.5 V,8,1.8,1.8,5766,60,60,,,
24 Sex b,Confirmed,1.99,0.38,0.26,1.99,0.38,0.26,0,,,452.8,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,,,,0.017821,2010,5/23/14,9.2,165.4,277.9,2454762,172.3,172.3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,4.9,4.9,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098,44,44,,,
24 Sex c,Confirmed,0.86,0.22,0.35,0.86,0.22,0.35,0,,,883,14,32,2.08,0.02,0.05,0.29,0.09,0.16,,,,0.027807,2010,5/23/14,220.5,320.9,182.2,2454930,96.5,96.5,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,24 Sex,155.8666667,0.9022222,7.38,,,,,74.8,4.9,4.9,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098,44,44,,,
30 Ari B b,Confirmed,9.88,0.94,0.94,9.88,0.94,0.94,0,,,335.1,2.5,2.5,0.995,0.012,0.012,0.289,0.092,0.092,,,,0.025254,2009,11/27/09,307,18,18,2454538,20,20,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,30 Ari B,39.2416667,24.6480556,7.1,,,,,39.4,1.7,1.7,0.12,0.08,0.08,1.22,0.08,0.08,1.23,0.07,0.07,F6V,0.91,0.03,0.03,6484,98,98,,,
42 Dra b,Confirmed,3.88,0.85,0.85,3.88,0.85,0.85,0,,,479.1,6.2,6.2,1.19,0.01,0.01,0.38,0.06,0.06,,,,0.01223,2009,3/23/09,218.7,10.6,10.6,2452757.4,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,42 Dra,276.4958333,65.5636111,4.83,,,,,97.3,5,5,-0.46,0.05,0.05,0.98,0.05,0.05,22.03,1,1,K1.5III,9.49,1.76,1.76,4200,70,70,,,
47 Uma b,Confirmed,2.53,0.06,0.07,2.53,0.06,0.07,0,,,1078,2,2,2.1,0.02,0.02,0.032,0.014,0.014,,,,0.150322,1996,8/27/14,334,23,23,2451917,76,63,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
47 Uma c,Confirmed,0.54,0.073,0.066,0.54,0.073,0.066,0,,,2391,87,100,3.6,0.1,0.1,0.098,0.096,0.047,,,,0.257695,2001,8/27/14,295,160,114,2456441,825,628,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
47 Uma d,Confirmed,1.64,0.48,0.29,1.64,0.48,0.29,0,,,14002,5095,4018,11.6,2.9,2.1,0.16,0.16,0.09,,,,0.830351,2010,8/27/14,110,160,132,2451736,5051,6783,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892,70,70,,,
51 Peg b,Confirmed,0.47,0.07,0.03,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.73E-05,3.73E-05,0.052,,,0.0069,0.0066,0.0069,80,10,19,0.003537,1995,1/26/17,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497,0.022,0.022,55.65,0.53,0.53,0,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,CO| H2O,51 Peg,344.3625,20.7686111,5.49,,,,,14.7,,,0.2,0.07,0.07,1.11,0.06,0.06,1.266,0.046,0.046,G2 IV,4,2.5,2.5,5793,70,70,,,
55 Cnc b,Confirmed,0.84,0.031,0.23,0.84,0.031,0.131,0,,,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,0.009303,1996,6/11/17,110,54,54,2453035,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc c,Confirmed,0.1784,0.0078,0.0275,0.1784,0.0078,0.0275,0,,,44.373,0.018,0.02,0.23735,0.00024,0.00024,0.072,0.014,0.013,,,,0.019473,2002,6/11/17,356,22,22,2453983,3,3,,,,,,,,,,,,,,,,,,,10.48,0.21,0.21,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc d,Confirmed,3.86,0.15,0.6,3.86,0.15,0.6,0,,,4867,26,25,5.446,0.02,0.02,0.0269,0.0065,0.061,,,,0.466775,2002,6/11/17,254,32,32,2453490,437,437,,,,,,,,,,,,,,,,,,,45.2,0.4,0.4,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc e,Confirmed,0.02547,0.00081,0.00089,0.02547,0.00081,0.00082,0.177536225,0.007137135,0.007137135,0.7365478,1.20E-06,1.60E-06,0.015439,1.50E-05,1.50E-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,6/11/17,170,130,130,2449999.836,0.0001,0.0001,,,,2455962.07,0.0018,0.0018,,,,72.4,12,12,,,,,,,6.12,0.2,0.2,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,HCN| H2O,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
55 Cnc f,Confirmed,0.1479,0.0093,0.0219,0.1479,0.0093,0.0219,0,,,260.91,0.36,0.36,0.7733,0.001,0.001,0.08,0.057,0.102,,,,0.06329,2007,6/11/17,139,8,8,2451878,5,5,,,,,,,,,,,,,,,,,,,4.8,0.2,0.2,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
61 Vir b,Confirmed,0.016,0.0016,0.0016,0.016,0.0016,0.0016,0,,,4.215,0.0006,0.0006,0.050201,5.00E-06,5.00E-06,0.12,0.11,0.11,,,,0.005892,2009,12/15/09,105,54,54,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
61 Vir c,Confirmed,0.0573,0.0035,0.0035,0.0573,0.0035,0.0035,0,,,38.021,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,,,,0.025528,2009,12/15/09,341,38,38,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
61 Vir d,Confirmed,0.072,0.008,0.008,0.072,0.008,0.008,0,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,0.055869,2009,12/15/09,314,20,20,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3,3,5531,,,Imaging,,HD 115617
70 Vir b,Confirmed,6.6,,,6.6,,,0,,,116.67,0.01,0.01,0.48,,,0.43,,,,,,0.021818,1996,12/29/10,2.1,2,2,2448990.403,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,70 Vir,202.1083333,13.7866667,5,,,,,22,,,-0.11,,,0.92,,,1.968,0.047,0.047,G4 V,7.09,,,5432,,,IR Excess,,HR 117176
8 Umi b,Confirmed,1.5,0.2,0.2,1.5,0.2,0.2,0,,,93.4,4.5,4.5,0.49,0.03,0.03,0.06,0.18,0.18,,,,,2015,10/1/15,91,84.6,84.6,2454108.5,22.8,22.8,,,,,,,,,,,,,,,,,,,46.1,4,4,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,8 Umi,224.2,74.90083335,6.83,,,,,159.1,11,11,-0.03,0.02,0.02,1.8,0.1,0.1,9.9,0.4,0.4,K0,1.7,0.2,0.2,4847.4,7.5,7.5,,,
91 Aqr b,Confirmed,3.2,,,3.2,,,0,,,181.4,0.1,0.1,0.7,,,0.027,0.026,0.026,,,,0.006593,2003,8/21/15,177.3,0.8,0.8,2453472.1,24,24,,,,,,,,,,,,,,,,,,,91,2.3,2.3,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,91 Aqr,348.9708333,-9.0875,4.21,,,,,45.9,0.6,0.6,-0.03,0.1,0.1,1.4,0.1,0.1,11,0.1,0.1,K0 III,3.56,0.63,0.63,4665,18,18,,,
Aldebaran b,Confirmed,6.47,0.53,0.53,6.47,0.53,0.53,0,,,628.96,0.9,0.9,1.46,0.27,0.27,0.1,0.05,0.05,,,,0.1,1998,5/15/15,287,29,29,2451297,50,50,,,,,,,,,,,,,,,,,,,142.1,7.2,7.2,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Aldebaran,68.9791667,16.5091667,0.85,,,,,20.43,0.32,0.32,-0.27,0.05,0.05,1.13,0.11,0.11,45.1,0.1,0.1,K5III,6.6,2.4,2.4,4055,70,70,,,alf Tau
BD+03 2562 b,Confirmed,6.4,1.3,1.3,6.4,1.3,1.3,0,,,481.9,2.8,2.7,1.3,0.1,0.1,0.2,0.08,0.12,,,,,2017,6/30/17,218,26,32,2453726,32,41,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+03 2562,177.5648029,2.760131134,9.58,,,,,2618,564,564,-0.71,0.09,0.09,1.14,0.25,0.25,32.35,8.82,8.82,,5.25,2,2,4095,20,20,,,
BD+15 2375 b,Confirmed,1.06,0.27,0.27,1.06,0.27,0.27,0,,,153.22,0.44,0.44,0.576,0.027,0.027,0.001,0.001,0.25,,,,,2016,3/21/16,55,17,240,2457680,630,700,,,,,,,,,,,,,,,,,,,38.3,1,2.3,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+15 2375,176.4833334,14.61638891,10.3,,,,,774,165,165,-0.22,0.08,0.08,1.08,0.14,0.14,8.95,1.45,1.45,,7.4,,,4649,30,30,,,
BD+15 2940 b,Confirmed,1.11,,,1.11,,,0,,,137.48,0.34,0.34,0.539,,,0.26,0.1,0.1,,,,,2013,4/30/13,302,33,33,2453464,16,16,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,BD+15 2940,240.0958,15.5469,9.19,,,,,585,455,455,0.28,0.07,0.07,1.1,0.2,0.2,14.7,2.8,2.8,K0,7.1,4.2,4.2,4796,117,117,,,
BD+20 1790 b,Confirmed,6.37,1.35,1.35,6.37,1.35,1.35,0,,,7.78287,0.00076,0.00077,0.066,0.006,0.006,0.22,0.09,0.07,,,,0.002598,2009,5/4/17,200.4,21.8,21.8,3085.8,0.5,0.5,,,,,,,,,,,,,,,,,,,905,94,93,0,,,,,0,,,,Announced on a professional conference,Other,,,,,BD+20 1790,110.9333333,20.4141667,9.93,,,,,25.4,4,4,0.3,0.2,0.2,0.63,0.09,0.09,0.71,0.03,0.03,K5V,0.057,0.023,0.023,4410,,,,Yes,
BD+20 594 b,Confirmed,0.0513,0.019,0.019,0.0513,0.019,0.019,0.199,0.0098,0.012,41.6855,0.0031,0.0031,0.241,0.019,0.019,0,,,89.55,0.14,0.17,,2016,2/23/16,,,,,,,,,,2457151.902,0.0047,0.0042,,,,,,,,,,,,,3.1,1.1,1.1,386,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,BD+20 594,53.65000001,20.59916669,11,,,,,152.1,7.4,9.7,-0.15,0.05,0.05,0.961,0.029,0.032,0.928,0.04,0.055,K0 ,3.34,1.49,1.95,5766,99,99,,,2MASS 03343623+2035574
BD-10 3166 b,Confirmed,0.46,,,0.46,,,1.03,,,3.4878,0.0001,0.0001,0.046,,,0.0104,0.0192,0.0104,,,,0.000697,2000,2/24/15,345.4,83.9,83.9,2451844.7,,,,,,,,,,,,,,,,,,,,,60.53,1.44,1.44,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,BD-10 3166,164.6166667,-10.7702778,10.08,,,,,66,,,0.5,,,0.99,,,1.71,,,G4 V,4.18,,,5400,,,,,
BD-11 4672 b,Confirmed,0.53,0.05,0.05,0.53,0.05,0.05,0,,,1667,33,33,2.28,0.07,0.07,0.05,0.05,0.05,,,,0.091575,2010,2/23/16,,,,2455899,38,46,,,,,,,,,,,,,,,,,,,13.4,1,1,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD-11 4672,278.3708333,-11.63611113,10.02,,,,,27.3,1.3,1.3,-0.48,0.05,0.05,0.571,0.014,0.014,0.52,0.02,0.02,K7V,4.4,4,4,4475,100,100,,,
BD-17 63 b,Confirmed,5.1,0.12,0.12,5.1,0.12,0.12,0,,,655.6,0.6,0.6,1.34,0.02,0.02,0.54,0.005,0.005,,,,0.038728,2008,8/27/14,112.2,1.9,1.9,2454627.1,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,BD-17 63,7.1416667,-16.2263889,9.62,,,,,34.6,1.5,1.5,-0.03,0.06,0.06,0.74,0.03,0.03,0.69,,,K5V,4.3,4,4,4714,93,93,,,
CoRoT-10 b,Confirmed,2.75,0.14,0.14,,,,0.97,0.05,0.05,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,88.55,0.2,0.2,0.000306,2010,8/29/14,218.9,6.4,6.4,2454990.85,0.08,0.08,,,,2454273.344,0.0012,0.0012,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345,50,50,0.26,0.07,0.07,0.89,0.05,0.05,0.79,0.05,0.05,K1V,3,inf,nan,5075,75,75,,,
CoRoT-11 b,Confirmed,2.33,0.27,0.27,,,,1.43,0.033,0.033,2.994325,2.10E-05,2.10E-05,0.04351,0.00036,0.00036,0,,,81.41,0.17,0.17,7.80E-05,2010,8/17/14,,,,,,,,,,2454597.68,0.0003,0.0003,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560,30,30,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,F6V,2,1,1,6343,72,72,,,
CoRoT-12 b,Confirmed,0.917,0.065,0.07,,,,1.44,0.13,0.13,2.828042,1.30E-05,1.30E-05,0.04016,0.00092,0.00092,0.07,0.042,0.042,85.48,0.77,0.77,3.50E-05,2010,8/16/14,105,27,27,,,,,,,2454398.627,0.00036,0.00036,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150,85,85,0.16,0.1,0.1,1.078,0.072,0.072,1.116,0.092,0.092,G2V,6.3,3.1,3.1,5675,80,80,,,
CoRoT-13 b,Confirmed,1.308,0.066,0.066,,,,0.885,0.014,0.014,4.03519,3.00E-05,3.00E-05,0.051,0.0031,0.0031,0,,,88.02,0.036,0.036,3.90E-05,2010,8/16/14,,,,,,,,,,2454790.809,0.0006,0.0006,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310,100,100,0.01,0.07,0.07,1.09,0.02,0.02,1.01,0.03,0.03,G0V,1.64,1.52,1.52,5945,90,90,,,
CoRoT-14 b,Confirmed,7.6,0.6,0.6,,,,1.09,0.07,0.07,1.51214,0.00013,0.00013,0.027,0.002,0.002,0,,,79.6,0.8,0.8,2.00E-05,2010,1/24/14,,,,2454787.67,,,,,,2454787.669,0.0053,0.0053,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-14,103.425,-5.5361111,16.03,,,,,1340,110,110,0.05,0.15,0.15,1.13,0.09,0.09,1.21,0.08,0.08,F9V,4.2,3.8,3.8,6035,100,100,,,
CoRoT-16 b,Confirmed,0.535,0.085,0.085,,,,1.17,0.14,0.14,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,85.01,1.2,1.2,7.40E-05,2010,1/24/14,168.41,21,21,,,,,,,2454923.914,0.0022,0.0022,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-16,278.525,-6.0025,15.64,,,,,840,90,90,0.19,0.06,0.06,1.098,0.078,0.078,1.19,0.14,0.14,G5V,6.73,2.8,2.8,5650,100,100,,,
CoRoT-17 b,Confirmed,2.43,0.16,0.16,,,,1.02,0.07,0.07,3.768125,0.000257,0.000257,0.0461,0.0008,0.0008,0,,,88.34,1.54,1.54,5.00E-05,2010,1/24/14,,,,,,,,,,2454923.309,0.003613,0.003613,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-17,278.6958333,-6.6122222,15.46,,,,,920,50,50,0,0.1,0.1,1.04,0.1,0.1,1.59,0.07,0.07,G2V,10.7,1,1,5740,80,80,,,
CoRoT-19 b,Confirmed,1.11,0.06,0.06,,,,1.29,0.05,0.05,3.89713,2.00E-05,2.00E-05,0.0518,0.0008,0.0008,0.047,0.045,0.045,87.61,0.37,0.37,6.50E-05,2011,1/24/14,86,60,60,,,,,,,2455257.441,0.0006,0.0006,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-19,97.03333334,0.170555562,14.78,,,,,800,200,200,-0.02,0.1,0.1,1.21,0.06,0.06,1.65,0.04,0.04,F9V,5,1,1,6090,70,70,,,
CoRoT-20 b,Confirmed,4.24,0.23,0.23,,,,0.84,0.04,0.04,9.24285,0,0,0.0902,0.0021,0.0021,0.562,0.013,0.013,88.21,0.53,0.53,7.30E-05,2011,7/10/14,56.3,2.4,2.4,,,,,,,2455266,0.0014,0.0014,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-20,97.730434,0.22692,14.66,,,,,1230,120,120,0.14,0.12,0.12,1.14,0.08,0.08,0.92,,,G2V,0.1,0.04,0.04,5880,90,90,,,
CoRoT-22 b,Confirmed,0.0383853,0.027687758,0.044048705,,,,0.435365216,0.034793532,0.015166411,9.75598,0.00011,0.00011,0.092,0.0014,0.0014,0.077,0.042,0.3,89.749,0.9,0.032,0.000149,2011,8/28/14,210,30,70,,,,,,,2454598.42,0.00051,0.00099,,,,,,,,,,,,,,,,885,,,,,0,,,,Announced on a professional conference,Primary Transit,,,,,CoRoT-22,280.6666667,6.225000011,11.93,,,,,592,42,25,0.17,0.12,0.07,1.099,0.049,0.049,1.136,0.09,0.038,G0IV,3.3,2,2,5939,120,54,,,
CoRoT-23 b,Confirmed,2.8,0.25,0.25,,,,1.08,0.13,0.13,3.6314,0.0001,0.0001,0.0477,0.0038,0.0038,0.16,0.017,0.017,85.7,1.5,1.5,8.00E-05,2011,1/26/14,51.8,9,9,,,,,,,2455308.937,0.001,0.001,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-23,279.782615,4.3578,15.63,,,,,600,50,50,0.05,0.1,0.1,1.14,0.08,0.08,1.61,0.18,0.18,G0V,7.2,1,1,5900,100,100,,,
CoRoT-24 b,Confirmed,0.018,inf,nan,,,,0.33,0.04,0.04,5.1134,0.0006,0.0006,0.056,0.002,0.002,0,,,86.5,2,2,9.30E-05,2011,7/8/14,,,,,,,,,,2454789.611,0.006,0.006,,,,,,,,,,,,,,,,1070,,,,,0,,,,Submitted to a professional journal,Primary Transit,,,,,CoRoT-24,101.925,-3.719444461,,14.3,,,,600,70,70,0.3,0.25,0.25,0.91,0.09,0.09,0.86,0.09,0.09,K1V,11,,,4950,150,150,,,
CoRoT-24 c,Confirmed,0.088,0.035,0.035,,,,0.44,0.04,0.04,11.759,0.0063,0.0063,0.098,0.003,0.003,0,,,89,1,1.6,0.000163,2011,7/8/14,,,,,,,,,,2454795.38,0.0265,0.0265,,,,,,,,,,,,,,,,850,,,,,0,,,,Submitted to a professional journal,Primary Transit,,,,,CoRoT-24,101.925,-3.719444461,,14.3,,,,600,70,70,0.3,0.25,0.25,0.91,0.09,0.09,0.86,0.09,0.09,K1V,11,,,4950,150,150,,,
CoRoT-26 b,Confirmed,0.52,0.05,0.05,,,,1.26,0.07,0.13,4.20474,5.00E-05,5.00E-05,0.0526,0.001,0.001,0,,,86.8,1,2.2,,2012,5/27/14,,,,,,,,,,2454574.681,0.0008,0.0008,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-26,279.75,6.97,15.76,,,,,1670,205,110,0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.09,0.18,G8IV,8.6,1.8,0.9,5590,100,100,,,
CoRoT-28 b,Confirmed,0.484,0.087,0.087,0.484,0.087,0.087,0.955,0.066,0.066,5.20851,0.00038,0.00038,0.059,0.0027,0.0027,0.047,0.038,0.055,,,,,2012,8/17/15,126,61,140,,,,,,,2455755.847,0.0029,0.0029,,,,,,,0.24,0.09,0.09,,,,56.4,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-28,278.6875,5.5739,13.49,,,,,560,70,70,0.15,0.1,0.1,1.01,0.14,0.14,1.78,0.11,0.11,G8/9IV,12,1.5,1.5,5150,100,100,,,
CoRoT-29 b,Confirmed,0.85,0.2,0.2,0.85,0.2,0.2,0.9,0.16,0.16,2.85057,6.00E-06,6.00E-06,0.039,0.002,0.002,0.082,0.081,0.081,87.3,2.7,2.7,,2012,4/27/15,87,210,49,,,,,,,2455753.115,0.001,0.001,,,,,,,0.43,0.44,0.44,,,,125,17,17,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-29,278.9042,6.4797,15.35,,,,,765,50,50,0.2,0.1,0.1,0.976,0.14,0.14,0.9,0.12,0.12,KOV,4.5,3.5,3.5,5260,100,100,,,
